Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range
2022;117;Q5;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;23
2016;117;A3;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16
2023;117;Q5 E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;23
2020;117;Q5 E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;20
2022;117;E-TRON GT;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;117;Q4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;117;A7;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;24
2022;117;E-TRON SPORTBACK;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;117;Q4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2020;117;A8 E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2021;117;E-TRON SPORTBACK;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;218
2021;117;E-TRON;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;117;E-TRON;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;117;E-TRON;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;117;E-TRON GT;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;117;RS E-TRON GT;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2024;117;Q8;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;117;E-TRON SPORTBACK;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;117;RS E-TRON GT;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2020;117;E-TRON SPORTBACK;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;218
2021;117;Q5 E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2015;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84
